1729,3184,3184,3399,3399,3572,3572,3572,7027,7167,7521,7521,9889
ʙ = Bilabial trill,ṭ  = retroflex t,g̣  = voiced uvular plosive,ɺ  = lateral flap,ɾ ̃  = nasal flap,h←  = ingressive fricative,ɬ  = lateral fricative,ɬ←  = ingressive lateral fricative,ʟ  = uvular lateral approximant,ɢ  = uvular,<  = implosive,*  = click with place left unspecified,ǀ  = dental click
